,twitter_handle
0,SenDanSullivan
1,lisamurkowski
2,SenTuberville
3,SenShelby
4,JohnBoozman
5,sentomcotton
6,kyrstensinema
7,SenMarkKelly
8,SenFeinstein
9,SenAlexPadilla
10,SenatorHick
11,SenatorBennet
12,ChrisMurphyCT
13,SenBlumenthal
14,ChrisCoons
15,SenatorCarper
16,SenRickScott
17,marcorubio
18,SenOssoff
19,SenatorWarnock
20,brianschatz
21,maziehirono
22,ChuckGrassley
23,joniernst
24,SenatorRisch
25,MikeCrapo
26,SenatorDurbin
28,SenatorBraun
29,ToddYoungIN
30,JerryMoran
31,SenatorMarshall
32,McConnellPress
33,RandPaul
35,JohnKennedyLA
36,SenMarkey
37,SenWarren
38,SenatorCardin
39,ChrisVanHollen
40,SenAngusKing
41,senatorcollins
42,SenStabenow
43,SenGaryPeters
44,SenTinaSmith
45,amyklobuchar
46,HawleyMO
47,RoyBlunt
48,SenatorWicker
49,SenHydeSmith
50,SenatorTester
51,SteveDaines
52,SenatorBurr
53,SenThomTillis
54,SenKevinCramer
55,SenJohnHoeven
56,SenSasse
57,SenatorFischer
58,SenatorShaheen
59,Maggie_Hassan
60,CoryBooker
61,SenatorMenendez
62,MartinHeinrich
63,SenatorLujan
64,SenCortezMasto
65,SenJackyRosen
66,SenSchumer
67,SenGillibrand
68,robportman
69,SenSherrodBrown
70,jiminhofe
71,SenatorLankford
72,SenJeffMerkley
73,RonWyden
74,SenToomey
75,SenBobCasey
76,SenJackReed
77,SenWhitehouse
78,LindseyGrahamSC
79,SenatorTimScott
80,SenJohnThune
81,SenatorRounds
82,MarshaBlackburn
83,JohnCornyn
84,SenTedCruz
85,SenMikeLee
86,SenatorRomney
87,MarkWarner
88,timkaine
89,SenSanders
90,SenatorLeahy
91,SenatorCantwell
92,PattyMurray
93,SenRonJohnson
94,tammybaldwin
95,Sen_JoeManchin
96,SenCapito
97,SenJohnBarrasso
98,SenLummis
